date,strategy,benchmark,exposure,pnl,nav,dtp_gated
1999-01-05,1.0,1.0,0.0,0.0,1.0,1
1999-01-06,1.0,1.007717,0.0,0.0,1.0,1
1999-01-07,1.0,1.04094,0.0,0.0,1.0,1
1999-01-08,1.0,1.043775,0.0,0.0,1.0,1
1999-01-11,1.0,1.041376,0.0,-0.0,1.0,1
1999-01-12,1.0,1.03437,0.0,-0.0,1.0,1
1999-01-13,1.0,1.027129,0.0,-0.0,1.0,1
1999-01-14,1.0,1.014448,0.0,-0.0,1.0,1
1999-01-15,1.0,1.049114,0.0,0.0,1.0,1
1999-01-16,1.0,1.053779,0.0,0.0,1.0,1
1999-01-18,1.0,1.036542,0.0,-0.0,1.0,1
1999-01-19,1.0,1.031033,0.0,-0.0,1.0,1
1999-01-20,1.0,1.025726,0.0,-0.0,1.0,1
1999-01-21,1.0,1.029219,0.0,0.0,1.0,1
1999-01-22,1.0,1.012437,0.0,-0.0,1.0,1
1999-01-25,1.0,0.980622,0.0,-0.0,1.0,1
1999-01-26,1.0,0.99402,0.0,0.0,1.0,1
1999-01-27,1.0,0.997796,0.0,0.0,1.0,1
1999-01-28,1.0,0.985531,0.0,-0.0,1.0,1
1999-01-29,1.0,0.972624,0.0,-0.0,1.0,1
1999-01-30,1.0,0.974951,0.0,0.0,1.0,1
1999-02-01,1.0,0.952923,0.0,-0.0,1.0,1
1999-02-02,1.0,0.934532,0.0,-0.0,1.0,1
1999-02-03,1.0,0.933592,0.0,-0.0,1.0,1
1999-02-04,1.0,0.896376,0.0,-0.0,1.0,1
1999-02-05,1.0,0.889858,0.0,-0.0,1.0,1
1999-02-06,1.0,0.928118,0.0,0.0,1.0,1
1999-02-08,1.0,0.946452,0.0,0.0,1.0,1
1999-02-09,1.0,0.93032,0.0,-0.0,1.0,1
1999-02-10,1.0,0.942392,0.0,0.0,1.0,1
1999-02-20,1.0,0.986981,0.0,0.0,1.0,1
1999-02-22,1.0,1.026201,0.0,0.0,1.0,1
1999-02-23,1.0,1.004634,0.0,-0.0,1.0,1
1999-02-24,1.0,1.01405,0.0,0.0,1.0,1
1999-02-25,1.0,1.020008,0.0,0.0,1.0,1
1999-02-26,1.0,1.026996,0.0,0.0,1.0,1
1999-03-01,1.0,1.025977,0.0,-0.0,1.0,1
1999-03-02,1.0,1.01806,0.0,-0.0,1.0,1
1999-03-03,1.0,1.04075,0.0,0.0,1.0,1
1999-03-04,1.0,1.039222,0.0,-0.0,1.0,1
1999-03-05,1.0,1.037491,0.0,-0.0,1.0,1
1999-03-06,1.0,1.043771,0.0,0.0,1.0,1
1999-03-08,1.0,1.045434,0.0,0.0,1.0,1
1999-03-09,1.0,1.055425,0.0,0.0,1.0,1
1999-03-10,1.0,1.054317,0.0,-0.0,1.0,1
1999-03-11,1.0,1.046221,0.0,-0.0,1.0,1
1999-03-12,1.0,1.050435,0.0,0.0,1.0,1
1999-03-15,1.0,1.072474,0.0,0.0,1.0,1
1999-03-16,1.0,1.084487,0.0,0.0,1.0,1
1999-03-17,1.0,1.098277,0.0,0.0,1.0,1
1999-03-18,1.0,1.120697,0.0,0.0,1.0,1
1999-03-19,1.0,1.137321,0.0,0.0,1.0,1
1999-03-20,1.0,1.136686,0.0,-0.0,1.0,1
1999-03-22,1.0,1.144788,0.0,0.0,1.0,1
1999-03-23,1.0,1.1289,0.0,-0.0,1.0,1
1999-03-24,1.0,1.119788,0.0,-0.0,1.0,1
1999-03-25,1.0,1.128234,0.0,0.0,1.0,1
1999-03-26,1.0,1.143166,0.0,0.0,1.0,1
1999-03-29,1.0,1.121781,0.0,-0.0,1.0,1
