date,pcr,threshold,signal,pos,ret,pnl,strategy,benchmark
1999-01-05,,,0.0,0.0,0.0,0.0,1.0,1.0
1999-01-06,,,0.0,0.0,0.007717,0.0,1.0,1.007717
1999-01-07,,,0.0,0.0,0.032968,0.0,1.0,1.04094
1999-01-08,,,0.0,0.0,0.002723,0.0,1.0,1.043775
1999-01-11,,,0.0,0.0,-0.002298,-0.0,1.0,1.041376
1999-01-12,,,0.0,0.0,-0.006727,-0.0,1.0,1.03437
1999-01-13,,,0.0,0.0,-0.007,-0.0,1.0,1.027129
1999-01-14,,,0.0,0.0,-0.012346,-0.0,1.0,1.014448
1999-01-15,,,0.0,0.0,0.034172,0.0,1.0,1.049114
1999-01-16,,,0.0,0.0,0.004446,0.0,1.0,1.053779
1999-01-18,,,0.0,0.0,-0.016357,-0.0,1.0,1.036542
1999-01-19,,,0.0,0.0,-0.005314,-0.0,1.0,1.031033
1999-01-20,,,0.0,0.0,-0.005147,-0.0,1.0,1.025726
1999-01-21,,,0.0,0.0,0.003405,0.0,1.0,1.029219
1999-01-22,,,0.0,0.0,-0.016306,-0.0,1.0,1.012437
1999-01-25,,,0.0,0.0,-0.031424,-0.0,1.0,0.980622
1999-01-26,,,0.0,0.0,0.013663,0.0,1.0,0.99402
1999-01-27,,,0.0,0.0,0.003798,0.0,1.0,0.997796
1999-01-28,,,0.0,0.0,-0.012292,-0.0,1.0,0.985531
1999-01-29,,,0.0,0.0,-0.013097,-0.0,1.0,0.972624
1999-01-30,,,0.0,0.0,0.002393,0.0,1.0,0.974951
1999-02-01,,,0.0,0.0,-0.022595,-0.0,1.0,0.952923
1999-02-02,,,0.0,0.0,-0.0193,-0.0,1.0,0.934532
1999-02-03,,,0.0,0.0,-0.001005,-0.0,1.0,0.933592
1999-02-04,,,0.0,0.0,-0.039863,-0.0,1.0,0.896376
1999-02-05,,,0.0,0.0,-0.007271,-0.0,1.0,0.889858
1999-02-06,,,0.0,0.0,0.042995,0.0,1.0,0.928118
1999-02-08,,,0.0,0.0,0.019754,0.0,1.0,0.946452
1999-02-09,,,0.0,0.0,-0.017045,-0.0,1.0,0.93032
1999-02-10,,,0.0,0.0,0.012976,0.0,1.0,0.942392
1999-02-20,,,0.0,0.0,0.047315,0.0,1.0,0.986981
1999-02-22,,,0.0,0.0,0.039738,0.0,1.0,1.026201
1999-02-23,,,0.0,0.0,-0.021016,-0.0,1.0,1.004634
1999-02-24,,,0.0,0.0,0.009372,0.0,1.0,1.01405
1999-02-25,,,0.0,0.0,0.005876,0.0,1.0,1.020008
1999-02-26,,,0.0,0.0,0.00685,0.0,1.0,1.026996
1999-03-01,,,0.0,0.0,-0.000992,-0.0,1.0,1.025977
1999-03-02,,,0.0,0.0,-0.007717,-0.0,1.0,1.01806
1999-03-03,,,0.0,0.0,0.022288,0.0,1.0,1.04075
1999-03-04,,,0.0,0.0,-0.001468,-0.0,1.0,1.039222
1999-03-05,,,0.0,0.0,-0.001666,-0.0,1.0,1.037491
1999-03-06,,,0.0,0.0,0.006053,0.0,1.0,1.043771
1999-03-08,,,0.0,0.0,0.001593,0.0,1.0,1.045434
1999-03-09,,,0.0,0.0,0.009557,0.0,1.0,1.055425
1999-03-10,,,0.0,0.0,-0.00105,-0.0,1.0,1.054317
1999-03-11,,,0.0,0.0,-0.007679,-0.0,1.0,1.046221
1999-03-12,,,0.0,0.0,0.004028,0.0,1.0,1.050435
1999-03-15,,,0.0,0.0,0.02098,0.0,1.0,1.072474
1999-03-16,,,0.0,0.0,0.011201,0.0,1.0,1.084487
1999-03-17,,,0.0,0.0,0.012715,0.0,1.0,1.098277
1999-03-18,,,0.0,0.0,0.020414,0.0,1.0,1.120697
1999-03-19,,,0.0,0.0,0.014834,0.0,1.0,1.137321
1999-03-20,,,0.0,0.0,-0.000559,-0.0,1.0,1.136686
1999-03-22,,,0.0,0.0,0.007128,0.0,1.0,1.144788
1999-03-23,,,0.0,0.0,-0.013879,-0.0,1.0,1.1289
1999-03-24,,,0.0,0.0,-0.008071,-0.0,1.0,1.119788
1999-03-25,,,0.0,0.0,0.007542,0.0,1.0,1.128234
1999-03-26,,,0.0,0.0,0.013235,0.0,1.0,1.143166
1999-03-29,,,0.0,0.0,-0.018707,-0.0,1.0,1.121781
