date,adj
2007-12-26,25.15
2007-12-27,25.43
2007-12-28,25.6
2007-12-31,26.04
2008-01-02,25.75
2008-01-03,25.4
2008-01-04,25.45
2008-01-07,25.05
2008-01-08,25.36
2008-01-09,25.56
2008-01-10,25.75
2008-01-11,25.8
2008-01-14,25.9
2008-01-15,26.22
2008-01-16,25.75
2008-01-17,25.04
2008-01-18,25.05
2008-01-21,24.89
2008-01-22,23.5
2008-01-23,23.01
2008-01-24,23.41
2008-01-25,23.8
2008-01-28,22.9
2008-01-29,22.73
2008-01-30,22.74
2008-01-31,22.73
2008-02-01,23.05
2008-02-12,22.92
2008-02-13,22.8
2008-02-14,23.5
2008-02-15,23.5
2008-02-18,23.66
2008-02-19,23.93
2008-02-20,23.67
2008-02-21,23.79
2008-02-22,23.8
2008-02-25,24.25
2008-02-26,24.5
2008-02-27,24.55
2008-02-29,24.75
2008-03-03,24.64
2008-03-04,24.96
2008-03-05,25.0
2008-03-06,25.5
2008-03-07,25.3
2008-03-10,24.97
2008-03-11,24.95
2008-03-12,25.11
2008-03-13,24.88
2008-03-14,24.63
2008-03-17,24.2
2008-03-18,24.25
2008-03-19,24.3
2008-03-20,24.6
2008-03-21,24.99
2008-03-24,25.79
2008-03-25,25.71
2008-03-26,25.7
2008-03-27,25.26
2008-03-28,25.73
2008-03-31,25.5
2008-04-01,25.45
2008-04-02,25.56
2008-04-03,25.5
2008-04-07,25.63
2008-04-08,25.6
2008-04-09,25.55
2008-04-10,25.75
2008-04-11,25.98
2008-04-14,26.16
2008-04-15,26.25
2008-04-16,26.74
2008-04-17,26.82
2008-04-18,26.65
2008-04-21,26.6
2008-04-22,26.7
2008-04-23,26.6
2008-04-24,26.6
2008-04-25,26.65
2008-04-28,26.75
2008-04-29,26.5
2008-04-30,26.3
2008-05-02,26.63
2008-05-05,26.32
2008-05-06,26.25
2008-05-07,26.28
2008-05-08,26.25
2008-05-09,26.15
2008-05-12,26.05
2008-05-13,26.6
2008-05-14,26.65
2008-05-15,26.97
2008-05-16,27.08
2008-05-19,27.5
2008-05-20,27.09
2008-05-21,26.9
2008-05-22,26.87
2008-05-23,26.39
2008-05-26,26.12
2008-05-27,26.14
2008-05-28,26.12
2008-05-29,25.96
2008-05-30,25.73
2008-06-02,25.62
2008-06-03,25.33
2008-06-04,25.41
2008-06-05,25.75
2008-06-06,25.9
2008-06-09,25.7
2008-06-10,25.05
2008-06-11,24.94
2008-06-12,23.91
2008-06-13,23.82
2008-06-16,24.14
2008-06-17,24.19
2008-06-18,24.2
2008-06-19,23.89
2008-06-20,23.47
2008-06-23,23.23
2008-06-24,23.0
2008-06-25,23.25
2008-06-26,23.08
2008-06-27,23.0
2008-06-30,22.9
2008-07-01,22.48
2008-07-02,22.53
2008-07-03,22.6
2008-07-04,22.1
2008-07-07,22.4
2008-07-08,21.41
2008-07-09,21.41
2008-07-10,21.62
2008-07-11,22.05
2008-07-14,21.94
2008-07-15,21.26
2008-07-16,21.0
2008-07-17,21.32
2008-07-18,20.68
2008-07-21,21.38
2008-07-22,21.3
2008-07-23,22.1
2008-07-24,22.19
2008-07-25,21.98
2008-07-29,21.5
2008-07-30,21.7
2008-07-31,21.47
2008-08-01,21.33
2008-08-04,21.19
2008-08-05,20.82
2008-08-06,21.17
2008-08-07,21.1
2008-08-08,21.45
2008-08-11,21.81
2008-08-12,21.81
2008-08-13,21.92
2008-08-14,22.31
2008-08-15,21.95
2008-08-18,21.6
2008-08-19,21.53
2008-08-20,21.6
2008-08-21,21.31
2008-08-22,21.3
2008-08-25,21.5
2008-08-26,21.4
2008-08-27,21.74
2008-08-28,21.8
2008-08-29,21.9
2008-09-01,21.43
2008-09-02,21.35
2008-09-03,20.74
2008-09-04,20.1
2008-09-05,19.6
2008-09-08,20.9
2008-09-09,19.9
2008-09-10,20.03
2008-09-11,19.26
2008-09-12,19.31
2008-09-15,18.4
2008-09-16,17.25
2008-09-17,17.48
2008-09-18,16.8
2008-09-19,17.97
2008-09-22,18.48
2008-09-23,18.54
2008-09-24,18.54
2008-09-25,18.32
2008-09-26,17.81
2008-09-30,17.0
2008-10-01,17.35
2008-10-02,17.26
2008-10-03,17.42
2008-10-06,16.71
2008-10-07,16.93
2008-10-08,16.05
2008-10-09,15.6
2008-10-13,15.2
2008-10-14,16.26
2008-10-15,15.76
2008-10-16,15.21
2008-10-17,14.8
2008-10-20,14.66
2008-10-21,14.74
2008-10-22,14.26
2008-10-23,13.78
2008-10-24,13.3
2008-10-27,12.55
2008-10-28,13.39
2008-10-29,13.39
2008-10-30,14.32
2008-10-31,14.65
2008-11-03,15.06
2008-11-04,15.2
2008-11-05,15.15
2008-11-06,14.1
2008-11-07,14.5
2008-11-10,14.49
2008-11-11,14.4
2008-11-12,14.1
2008-11-13,13.42
2008-11-14,14.04
2008-11-17,13.85
2008-11-18,13.4
2008-11-19,13.41
2008-11-20,12.85
2008-11-21,12.98
2008-11-24,12.65
2008-11-25,12.95
2008-11-26,13.0
2008-11-27,13.52
2008-11-28,13.45
2008-12-01,13.7
2008-12-02,13.14
2008-12-03,13.1
2008-12-04,12.89
2008-12-05,12.8
2008-12-08,13.5
2008-12-09,13.51
2008-12-10,14.05
2008-12-11,14.05
2008-12-12,13.38
2008-12-15,13.9
2008-12-16,13.8
2008-12-17,13.9
2008-12-18,14.0
2008-12-19,14.14
2008-12-22,13.6
2008-12-23,13.15
2008-12-24,13.2
2008-12-25,13.18
2008-12-26,13.28
2008-12-29,13.19
2008-12-30,13.66
2008-12-31,13.49
2009-01-05,13.92
2009-01-06,14.04
2009-01-07,14.28
2009-01-08,13.61
2009-01-09,13.6
2009-01-10,13.7
2009-01-12,13.7
2009-01-13,13.8
2009-01-14,13.7
2009-01-15,13.2
2009-01-16,13.21
2009-01-17,13.45
2009-01-19,13.3
2009-01-20,13.19
2009-01-21,13.13
2009-02-02,13.19
2009-02-03,13.38
2009-02-04,13.5
2009-02-05,13.64
2009-02-06,13.8
2009-02-09,13.94
2009-02-10,14.05
2009-02-11,14.2
2009-02-12,13.8
2009-02-13,14.19
2009-02-16,14.1
2009-02-17,13.92
2009-02-18,13.9
2009-02-19,14.08
2009-02-20,13.8
2009-02-23,13.86
2009-02-24,13.8
2009-02-25,13.9
2009-02-26,13.98
2009-02-27,14.12
2009-03-02,13.82
2009-03-03,14.02
2009-03-04,14.26
2009-03-05,14.65
2009-03-06,14.7
2009-03-09,14.8
2009-03-10,15.02
2009-03-11,15.14
2009-03-12,15.14
2009-03-13,15.55
2009-03-16,15.7
2009-03-17,15.83
2009-03-18,15.79
2009-03-19,15.65
2009-03-20,15.6
2009-03-23,16.1
2009-03-24,16.35
2009-03-25,16.7
2009-03-26,16.7
2009-03-27,16.51
2009-03-30,16.0
2009-03-31,16.01
2009-04-01,16.45
2009-04-02,16.76
2009-04-03,16.95
2009-04-06,17.1
2009-04-07,17.29
2009-04-08,17.01
2009-04-09,17.6
2009-04-10,17.92
2009-04-13,18.1
2009-04-14,18.16
2009-04-15,18.13
2009-04-16,18.46
2009-04-17,17.49
2009-04-20,17.51
2009-04-21,18.0
2009-04-22,18.21
2009-04-23,18.16
2009-04-24,18.12
2009-04-27,17.67
2009-04-28,17.1
2009-04-29,17.13
2009-04-30,18.32
2009-05-04,19.6
2009-05-05,19.1
2009-05-06,19.55
2009-05-07,19.99
2009-05-08,19.95
2009-05-11,20.22
2009-05-12,19.36
2009-05-13,19.6
2009-05-14,19.31
2009-05-15,19.6
2009-05-18,19.82
2009-05-19,19.88
2009-05-20,19.98
2009-05-21,19.99
2009-05-22,19.96
2009-05-25,20.06
2009-05-26,19.87
2009-05-27,20.41
2009-06-01,20.55
2009-06-02,20.65
2009-06-03,20.52
2009-06-04,20.38
2009-06-05,20.39
2009-06-06,20.4
2009-06-08,19.9
2009-06-09,19.15
2009-06-10,19.26
2009-06-11,19.52
2009-06-12,19.45
2009-06-15,18.61
2009-06-16,18.7
2009-06-17,18.67
2009-06-18,18.49
2009-06-19,18.77
2009-06-22,18.96
2009-06-23,18.7
2009-06-24,19.05
2009-06-25,19.33
2009-06-26,19.45
2009-06-29,19.32
2009-06-30,19.26
2009-07-01,19.62
2009-07-02,19.9
2009-07-03,20.1
2009-07-06,20.11
2009-07-07,20.26
2009-07-08,20.25
2009-07-09,20.42
2009-07-10,20.5
2009-07-13,19.86
2009-07-14,20.2
2009-07-15,20.8
2009-07-16,20.9
2009-07-17,21.04
2009-07-20,21.34
2009-07-21,21.49
2009-07-22,21.56
2009-07-23,21.53
2009-07-24,21.6
2009-07-27,21.75
2009-07-28,22.15
2009-07-29,22.05
2009-07-30,22.0
2009-07-31,22.0
2009-08-03,22.14
2009-08-04,21.8
2009-08-05,21.55
2009-08-06,21.5
2009-08-10,21.62
2009-08-11,21.72
2009-08-12,21.67
