date,pcr
2010-01-04,130.8
2010-01-05,127.23
2010-01-06,138.49
2010-01-07,137.58
2010-01-08,137.68
2010-01-11,140.66
2010-01-12,140.51
2010-01-13,134.69
2010-01-14,136.96
2010-01-15,140.35
2010-01-18,140.09
2010-01-19,132.03
2010-01-20,112.49
2010-01-21,104.39
2010-01-22,95.57
2010-01-25,95.71
2010-01-26,79.41
2010-01-27,78.81
2010-01-28,84.69
2010-01-29,78.26
2010-02-01,73.53
2010-02-02,70.64
2010-02-03,70.74
2010-02-04,71.52
2010-02-05,59.03
2010-02-06,56.12
2010-02-08,55.99
2010-02-09,59.38
2010-02-10,61.84
2010-02-22,65.34
2010-02-23,95.26
2010-02-24,94.63
2010-02-25,89.21
2010-02-26,86.74
2010-03-01,94.07
2010-03-02,94.35
2010-03-03,92.12
2010-03-04,93.19
2010-03-05,95.84
2010-03-08,101.94
2010-03-09,103.64
2010-03-10,104.27
2010-03-11,104.53
2010-03-12,104.99
2010-03-15,101.27
2010-03-16,103.05
2010-03-17,79.22
2010-03-18,84.28
2010-03-19,80.65
2010-03-22,81.31
2010-03-23,83.95
2010-03-24,88.01
2010-03-25,89.14
2010-03-26,95.9
2010-03-29,97.94
2010-03-30,100.02
2010-03-31,100.25
2010-04-01,100.34
2010-04-02,101.94
2010-04-06,107.28
2010-04-07,108.61
2010-04-08,107.62
2010-04-09,105.64
2010-04-12,105.24
2010-04-13,99.8
2010-04-14,100.83
2010-04-15,103.85
2010-04-16,101.91
2010-04-19,91.91
2010-04-20,93.38
2010-04-21,88.41
2010-04-22,86.67
2010-04-23,89.89
2010-04-26,93.99
2010-04-27,95.44
2010-04-28,93.8
2010-04-29,97.04
2010-04-30,98.65
2010-05-03,93.07
2010-05-04,92.94
2010-05-05,81.81
2010-05-06,74.0
2010-05-07,66.19
2010-05-10,68.81
2010-05-11,71.69
2010-05-12,73.64
2010-05-13,80.04
2010-05-14,84.59
2010-05-17,80.74
2010-05-18,79.43
2010-05-19,88.55
2010-05-20,83.85
2010-05-21,74.38
2010-05-24,71.56
2010-05-25,64.18
2010-05-26,64.55
2010-05-27,65.26
2010-05-28,69.95
2010-05-31,72.47
2010-06-01,73.39
2010-06-02,71.98
2010-06-03,78.2
2010-06-04,81.55
2010-06-07,74.13
2010-06-08,74.13
2010-06-09,70.58
2010-06-10,69.62
2010-06-11,73.02
2010-06-14,76.18
2010-06-15,81.73
2010-06-17,87.36
2010-06-18,75.24
2010-06-21,79.73
2010-06-22,83.28
2010-06-23,85.09
2010-06-24,84.45
2010-06-25,80.51
2010-06-28,79.32
2010-06-29,81.06
2010-06-30,75.89
2010-07-01,76.13
2010-07-02,72.96
2010-07-05,75.47
2010-07-06,83.65
2010-07-07,86.97
2010-07-08,88.79
2010-07-09,92.53
2010-07-12,95.84
